contrast_id,contrast_name,contrast_type,condition1,condition2,weight1,weight2,conditions_list,weights_list
1,FIXATION>CS-_first,T,FIXATION,CS-_first,1,-1,"['FIXATION', 'CS-_first']","[1, -1]"
2,FIXATION<CS-_first,T,FIXATION,CS-_first,-1,1,"['FIXATION', 'CS-_first']","[-1, 1]"
3,FIXATION>CSS_first,T,FIXATION,CSS_first,1,-1,"['FIXATION', 'CSS_first']","[1, -1]"
4,FIXATION<CSS_first,T,FIXATION,CSS_first,-1,1,"['FIXATION', 'CSS_first']","[-1, 1]"
5,FIXATION>US_CSS,T,FIXATION,US_CSS,1,-1,"['FIXATION', 'US_CSS']","[1, -1]"
6,FIXATION<US_CSS,T,FIXATION,US_CSS,-1,1,"['FIXATION', 'US_CSS']","[-1, 1]"
7,FIXATION>CSR_first,T,FIXATION,CSR_first,1,-1,"['FIXATION', 'CSR_first']","[1, -1]"
8,FIXATION<CSR_first,T,FIXATION,CSR_first,-1,1,"['FIXATION', 'CSR_first']","[-1, 1]"
9,FIXATION>US_CSR,T,FIXATION,US_CSR,1,-1,"['FIXATION', 'US_CSR']","[1, -1]"
10,FIXATION<US_CSR,T,FIXATION,US_CSR,-1,1,"['FIXATION', 'US_CSR']","[-1, 1]"
11,FIXATION>CSR_others,T,FIXATION,CSR_others,1,-1,"['FIXATION', 'CSR_others']","[1, -1]"
12,FIXATION<CSR_others,T,FIXATION,CSR_others,-1,1,"['FIXATION', 'CSR_others']","[-1, 1]"
13,FIXATION>CSS_others,T,FIXATION,CSS_others,1,-1,"['FIXATION', 'CSS_others']","[1, -1]"
14,FIXATION<CSS_others,T,FIXATION,CSS_others,-1,1,"['FIXATION', 'CSS_others']","[-1, 1]"
15,FIXATION>CS-_others,T,FIXATION,CS-_others,1,-1,"['FIXATION', 'CS-_others']","[1, -1]"
16,FIXATION<CS-_others,T,FIXATION,CS-_others,-1,1,"['FIXATION', 'CS-_others']","[-1, 1]"
17,CS-_first>CSS_first,T,CS-_first,CSS_first,1,-1,"['CS-_first', 'CSS_first']","[1, -1]"
18,CS-_first<CSS_first,T,CS-_first,CSS_first,-1,1,"['CS-_first', 'CSS_first']","[-1, 1]"
19,CS-_first>US_CSS,T,CS-_first,US_CSS,1,-1,"['CS-_first', 'US_CSS']","[1, -1]"
20,CS-_first<US_CSS,T,CS-_first,US_CSS,-1,1,"['CS-_first', 'US_CSS']","[-1, 1]"
21,CS-_first>CSR_first,T,CS-_first,CSR_first,1,-1,"['CS-_first', 'CSR_first']","[1, -1]"
22,CS-_first<CSR_first,T,CS-_first,CSR_first,-1,1,"['CS-_first', 'CSR_first']","[-1, 1]"
23,CS-_first>US_CSR,T,CS-_first,US_CSR,1,-1,"['CS-_first', 'US_CSR']","[1, -1]"
24,CS-_first<US_CSR,T,CS-_first,US_CSR,-1,1,"['CS-_first', 'US_CSR']","[-1, 1]"
25,CS-_first>CSR_others,T,CS-_first,CSR_others,1,-1,"['CS-_first', 'CSR_others']","[1, -1]"
26,CS-_first<CSR_others,T,CS-_first,CSR_others,-1,1,"['CS-_first', 'CSR_others']","[-1, 1]"
27,CS-_first>CSS_others,T,CS-_first,CSS_others,1,-1,"['CS-_first', 'CSS_others']","[1, -1]"
28,CS-_first<CSS_others,T,CS-_first,CSS_others,-1,1,"['CS-_first', 'CSS_others']","[-1, 1]"
29,CS-_first>CS-_others,T,CS-_first,CS-_others,1,-1,"['CS-_first', 'CS-_others']","[1, -1]"
30,CS-_first<CS-_others,T,CS-_first,CS-_others,-1,1,"['CS-_first', 'CS-_others']","[-1, 1]"
31,CSS_first>US_CSS,T,CSS_first,US_CSS,1,-1,"['CSS_first', 'US_CSS']","[1, -1]"
32,CSS_first<US_CSS,T,CSS_first,US_CSS,-1,1,"['CSS_first', 'US_CSS']","[-1, 1]"
33,CSS_first>CSR_first,T,CSS_first,CSR_first,1,-1,"['CSS_first', 'CSR_first']","[1, -1]"
34,CSS_first<CSR_first,T,CSS_first,CSR_first,-1,1,"['CSS_first', 'CSR_first']","[-1, 1]"
35,CSS_first>US_CSR,T,CSS_first,US_CSR,1,-1,"['CSS_first', 'US_CSR']","[1, -1]"
36,CSS_first<US_CSR,T,CSS_first,US_CSR,-1,1,"['CSS_first', 'US_CSR']","[-1, 1]"
37,CSS_first>CSR_others,T,CSS_first,CSR_others,1,-1,"['CSS_first', 'CSR_others']","[1, -1]"
38,CSS_first<CSR_others,T,CSS_first,CSR_others,-1,1,"['CSS_first', 'CSR_others']","[-1, 1]"
39,CSS_first>CSS_others,T,CSS_first,CSS_others,1,-1,"['CSS_first', 'CSS_others']","[1, -1]"
40,CSS_first<CSS_others,T,CSS_first,CSS_others,-1,1,"['CSS_first', 'CSS_others']","[-1, 1]"
41,CSS_first>CS-_others,T,CSS_first,CS-_others,1,-1,"['CSS_first', 'CS-_others']","[1, -1]"
42,CSS_first<CS-_others,T,CSS_first,CS-_others,-1,1,"['CSS_first', 'CS-_others']","[-1, 1]"
43,US_CSS>CSR_first,T,US_CSS,CSR_first,1,-1,"['US_CSS', 'CSR_first']","[1, -1]"
44,US_CSS<CSR_first,T,US_CSS,CSR_first,-1,1,"['US_CSS', 'CSR_first']","[-1, 1]"
45,US_CSS>US_CSR,T,US_CSS,US_CSR,1,-1,"['US_CSS', 'US_CSR']","[1, -1]"
46,US_CSS<US_CSR,T,US_CSS,US_CSR,-1,1,"['US_CSS', 'US_CSR']","[-1, 1]"
47,US_CSS>CSR_others,T,US_CSS,CSR_others,1,-1,"['US_CSS', 'CSR_others']","[1, -1]"
48,US_CSS<CSR_others,T,US_CSS,CSR_others,-1,1,"['US_CSS', 'CSR_others']","[-1, 1]"
49,US_CSS>CSS_others,T,US_CSS,CSS_others,1,-1,"['US_CSS', 'CSS_others']","[1, -1]"
50,US_CSS<CSS_others,T,US_CSS,CSS_others,-1,1,"['US_CSS', 'CSS_others']","[-1, 1]"
51,US_CSS>CS-_others,T,US_CSS,CS-_others,1,-1,"['US_CSS', 'CS-_others']","[1, -1]"
52,US_CSS<CS-_others,T,US_CSS,CS-_others,-1,1,"['US_CSS', 'CS-_others']","[-1, 1]"
53,CSR_first>US_CSR,T,CSR_first,US_CSR,1,-1,"['CSR_first', 'US_CSR']","[1, -1]"
54,CSR_first<US_CSR,T,CSR_first,US_CSR,-1,1,"['CSR_first', 'US_CSR']","[-1, 1]"
55,CSR_first>CSR_others,T,CSR_first,CSR_others,1,-1,"['CSR_first', 'CSR_others']","[1, -1]"
